Frecuencia de transito nocturna,Zona,Estrato,Que tan agradable es transitar?,Las caracteristicas de la zona:,Cantidad de personas le generan:,Zona segura si hay presencia de:,Los andenes le permiten:,Medio de transporte que utiliza,Que sensacion experimenta en TP?,Hora militar,Edad,Actividad Principal,Escolaridad
1,Sumapaz,3,2,5,2,1,1,1,5,17:00:00,39,1,8
1,Ciudad Bolívar,2,2,1,3,2,2,1,1,1900-01-01 00:00:00,23,2,6
1,Engativá,2,1,5,1,1,1,1,2,88,68,5,3
1,Sumapaz,1,2,1,1,3,1,1,3,17:00:00,23,4,8
1,Bosa,2,2,2,3,3,2,1,2,21:00:00,24,1,8
1,Engativá,4,4,5,1,1,2,3,1,22:00:00,26,2,7
3,Teusaquillo,4,4,3,4,1,2,6,1,88,53,1,8
3,Los Mártires,3,2,1,7,3,1,1,1,20:00:00,24,1,8
2,Suba,4,2,5,5,3,1,1,7,18:00:00,19,2,7
1,San Cristóbal,3,2,2,2,1,1,1,11,22:00:00,43,1,6
1,San Cristóbal,3,2,2,2,3,1,1,11,21:30:00,18,2,7
1,Bosa,2,2,2,2,3,2,1,11,21:00:00,17,2,6
1,Bosa,2,2,1,1,3,2,1,2,21:00:00,17,2,6
1,Suba,2,2,1,3,3,1,1,2,20:00:00,20,2,6
1,Engativá,2,3,1,1,3,1,1,3,88,22,1,6
1,Sumapaz,3,2,2,7,3,2,1,6,18:00:00,27,1,8
1,Sumapaz,3,3,5,6,3,1,1,5,88,33,1,6
1,Bosa,2,3,5,5,3,1,1,5,22:00:00,21,4,8
1,Bosa,2,3,3,3,1,1,1,2,20:00:00,18,1,6
1,Suba,3,2,1,3,1,2,1,2,18:30:00,26,1,9
2,Engativá,3,3,5,5,2,1,1,2,22:00:00,20,2,6
1,Puente Aranda,3,3,6,5,3,1,1,2,22:00:00,42,1,3
3,Engativá,3,3,1,7,3,1,1,9,20:00:00,26,1,8
1,Usaquén,4,3,5,1,3,2,1,5,18:00:00,18,2,7
1,Ciudad Bolívar,2,1,4,3,4,2,1,4,18:00:00,25,2,7
2,Fontibón,4,4,3,5,3,2,1,1,22:00:00,38,1,9
1,Suba,2,2,1,2,3,2,1,3,21:00:00,25,1,7
1,Rafael Uribe Uribe,3,2,4,3,3,1,4,1,19:00:00,31,1,5
1,Kennedy,2,3,4,6,3,2,1,7,21:00:00,22,1,6
1,Suba,2,2,1,2,4,3,1,2,18:00:00,17,3,7
1,Suba,4,2,5,5,3,1,1,11,22:00:00,27,3,7
1,Sumapaz,2,3,4,7,3,2,1,2,21:00:00,50,1,3
1,Suba,2,3,1,1,3,2,1,5,20:00:00,20,3,6
1,Rafael Uribe Uribe,3,3,1,1,3,2,4,3,18:00:00,30,1,6
1,Kennedy,2,3,3,2,3,1,4,2,21:00:00,22,3,6
2,Barrios Unidos,3,3,5,4,3,2,1,2,21:00:00,39,1,6
3,Engativá,2,4,6,5,3,1,1,11,23:00:00,22,2,6
2,Chapinero,4,3,3,2,3,1,1,2,18:00:00,20,3,7
1,Chapinero,4,1,2,6,3,2,1,11,20:00:00,27,1,8
1,Engativá,3,3,4,7,4,2,4,12,19:00:00,21,2,7
1,Engativá,2,2,6,7,3,1,1,3,21:00:00,19,1,5
1,Usaquén,3,2,2,2,3,3,1,2,21:00:00,37,1,99
2,Chapinero,2,3,6,6,1,1,1,3,19:00:00,20,2,5
1,Suba,3,2,2,7,3,1,1,4,19:00:00,26,1,5
1,Usme,2,2,6,7,3,1,1,2,20:00:00,33,2,9
1,Engativá,2,3,6,2,3,1,1,11,88,16,2,5
1,Ciudad Bolívar,2,1,1,1,3,1,1,2,21:00:00,36,1,5
1,Usaquén,2,2,1,7,3,1,1,11,22:00:00,23,1,6
3,Teusaquillo,4,2,3,4,3,3,1,3,18:30:00,46,1,6
